id,lat,lng,street_count,geometry
3358,22.5358679,113.947236,3,POINT (113.947236 22.5358679)
3359,22.5405559,113.9471945,4,POINT (113.9471945 22.5405559)
3360,22.5369257,113.9472266,3,POINT (113.9472266 22.5369257)
3361,22.5029999,113.9356857,3,POINT (113.9356857 22.5029999)
3362,22.5029978,113.93519,3,POINT (113.93519 22.5029978)
3363,22.50306,113.9389024,4,POINT (113.9389024 22.50306)
3364,22.5030387,113.9372492,3,POINT (113.9372492 22.5030387)
3365,22.5033739,113.9390106,3,POINT (113.9390106 22.5033739)
3366,22.5033633,113.9357221,3,POINT (113.9357221 22.5033633)
3367,22.5030606,113.9390146,3,POINT (113.9390146 22.5030606)
3368,22.4990467,113.9376013,3,POINT (113.9376013 22.4990467)
3369,22.4927405,113.9365637,3,POINT (113.9365637 22.4927405)
3370,22.4962446,113.9357292,3,POINT (113.9357292 22.4962446)
3371,22.4945696,113.9366649,3,POINT (113.9366649 22.4945696)
3372,22.4966324,113.9374188,3,POINT (113.9374188 22.4966324)
3373,22.4959159,113.9374801,3,POINT (113.9374801 22.4959159)
3374,22.4962346,113.9363131,3,POINT (113.9363131 22.4962346)
3375,22.5362232,113.9505509,3,POINT (113.9505509 22.5362232)
3376,22.5378258,113.9516284,3,POINT (113.9516284 22.5378258)
3377,22.5347873,113.9500524,3,POINT (113.9500524 22.5347873)
3378,22.524282,113.9494536,3,POINT (113.9494536 22.524282)
3379,22.5235108,113.9492967,3,POINT (113.9492967 22.5235108)
3380,22.5355011,113.9517331,3,POINT (113.9517331 22.5355011)
3381,22.5359789,113.9497787,3,POINT (113.9497787 22.5359789)
3382,22.5355468,113.9497109,3,POINT (113.9497109 22.5355468)
3383,22.5352267,113.9556913,3,POINT (113.9556913 22.5352267)
3384,22.5350811,113.9504278,3,POINT (113.9504278 22.5350811)
3385,22.535259,113.9500456,3,POINT (113.9500456 22.535259)
3386,22.5357155,113.9475918,3,POINT (113.9475918 22.5357155)
3387,22.5358234,113.9518793,3,POINT (113.9518793 22.5358234)
3388,22.5350911,113.9556734,3,POINT (113.9556734 22.5350911)
3389,22.5003196,113.9158908,3,POINT (113.9158908 22.5003196)
3390,22.5077465,113.918853,4,POINT (113.918853 22.5077465)
3391,22.5177879,113.9221731,4,POINT (113.9221731 22.5177879)
3392,22.5073277,113.9186913,3,POINT (113.9186913 22.5073277)
3393,22.5032551,113.9170833,4,POINT (113.9170833 22.5032551)
3394,22.5158311,113.9219349,3,POINT (113.9219349 22.5158311)
3395,22.5250886,113.9258841,3,POINT (113.9258841 22.5250886)
